"ID","Question","Answer"
"17","Do I need a special plan for working from home?","The Pro 1 Gbps plan is optimized for remote work with consistent upload speeds of 50 Mbps. If you attend frequent video calls, consider our Business Basic add-on which includes a static IP and priority support at $25/mo."
"18","What are your business telecom plans?","Business tiers start at 'Startup' (3 lines, shared data pool, $120/mo), 'Growth' (up to 10 lines with priority routing, $290/mo), and 'Enterprise' (unlimited lines, dedicated SLA support, custom pricing). Call our business desk at 1-888-BUS-GOOL for details."
"19","How long does a typical service outage last?","Most outages are resolved within 2 to 4 hours. For major storms or regional fiber cuts, it can take up to 24 hours. You'll receive push notifications from the app and SMS updates with estimated restoration times as they update."
"20","I'm traveling abroad. How can I avoid huge roaming charges?","Turn off cellular data for roaming in your phone settings before departure. Alternatively, purchase a Daily Roam Pass at $12/day through the app which includes unlimited calling in 150+ countries and up to 1 GB of data per day."
"21","Can I share my internet connection with neighbors legally?","No — sharing your router credentials or Wi-Fi password with non-household members violates our acceptable use policy. If multiple families need service, each must have their own account."
"22","What is a data cap and does it apply to my plan?","Most of our residential plans are truly unlimited. The only exception is our budget-friendly LTE Mobile Hotspot at $30/mo which caps at 50 GB; speeds continue at reduced rates beyond that instead of being cut off."
"23","Why did I receive a message about identity verification before my account could be modified?","We send this for fraud prevention whenever account details like address, payment method, or plan tier change. Follow the link in the email with your account number and last four SSN digits to verify quickly."
"24","How do I check how much data I've used this month?","Open the My Account app and tap 'Usage' on the home screen. It updates every few hours for mobile plans and daily for internet plans. You'll get a notification at 80% and 100% usage thresholds."
"25","What is the early termination fee if I leave before my contract ends?","The ETF decreases each month you stay: $300 in year one, $200 in year two, and $100 in year three. After 36 months there are no early termination fees — your line is fully owned."
"26","Can I consolidate multiple bills into one payment?","Absolutely. Enable Family Consolidation in My Account to link up to five lines (internet, mobile, or business) under a single monthly bill and autopay deduction. It saves an extra $5/mo on top of standard autopay discounts."
"27","Why is my VoIP call quality choppy or delayed?","This usually indicates insufficient upload bandwidth or router QoS settings blocking SIP traffic. Ensure your modem firmware is updated, temporarily disable Wi-Fi extenders to test the wired connection, and confirm no one else is large file uploading."
"28","How do I transfer ownership of an account to someone else?","Contact customer service or visit a retail store with both parties present along with valid government ID. A $35 transfer fee applies and the new owner must pass a standard credit check before lines are reassigned."
"29","What channels can I use to reach customer support?","In addition to phone and live chat, we offer in-store kiosks at 40+ locations nationwide, email support (support@teleco.com), Twitter DMs (@TelecoHelp on X/Twitter), and a community forum where our engineers monitor posts."
"30","Why does my bill show 'One Time' fees that are recurring?","Double-check the description column — some line items labeled '(OT)' refer to previous one-time charges amortized across multiple months. If a true one-time fee appears on three or more consecutive bills, call to have it removed."
"31","Can I get a discount for military service or government employment?","Yes — we offer 15% off all internet and mobile plans for active duty, veterans with valid DD-214 documentation, and eligible spouses. Apply through the verification portal at teleco.com/military."
"32","How do I request a temporary service suspension while traveling?","You can suspend up to two lines for a maximum of 90 days without early termination fees by requesting it through My Account under 'Manage Service > Suspend.' Reconnection takes 1-2 business days and is free once per year."
"33","What's the difference between LTE, 5G Home, and fiber internet?","LTE runs on cellular towers with variable speeds (25-100 Mbps). 5G Home uses nearby 5G cell sites for higher consistency (100-400 Mbps) depending on signal. Fiber uses actual physical lines to your building, delivering symmetrical speeds up to 1 Gbps."
"34","How do I dispute a charge I believe is incorrect?","Submit an online dispute via My Account > Billing > Dispute Charge, attach any supporting details, and you'll receive a response within 5 business days. While the investigation runs, you don't need to pay that specific line item unless your statement says otherwise."
"35","Can I use my own router or must I lease yours?","You can absolutely use your own compatible router if you disable our modem's Wi-Fi and bridge mode is enabled. We recommend checking our certified device list for guaranteed compatibility before purchasing to avoid connection issues."
"36","What happens when I hit my mobile data limit?","After reaching your monthly limit, speeds drop to 128 Kbps — enough for messaging but not browsing or video. You can purchase 1 GB of boosted-speed add-on at $10 until the cycle resets, or upgrade to a higher-tier plan."
"37","Why does my bill change every month even though I'm on autopay?","Changes are usually due to prorated service days when activations or upgrades happen mid-cycle, seasonal plan adjustments, or international roaming charges that accrue as usage reports come in. Review the line-by-line breakdown each month."
"38","Is there a contract required to sign up for internet service?","No — we offer both no-contract month-to-month plans and 12- or 24-month contracted options. The contracted plans include a promotional rate that's about $10-15/mo lower but carry early termination fees if you leave before the term ends."
"39","My Wi-Fi keeps dropping every few hours. How do I fix it?","This is commonly caused by overheating or DHCP lease exhaustion. Ensure the router has ventilation clearance, reboot it nightly, and log into the router admin panel to increase the DHCP address pool size from 20 to at least 50 devices."
"40","What does 'network maintenance' mean on your outage map?","Scheduled network maintenance means our field teams are upgrading equipment in your area. It should improve long-term reliability but may cause outages between 1 AM and 6 AM on the scheduled night. You'll receive a notification at least 48 hours prior."
"41","Can I get a credit for an outage that affected me?","Yes — we provide automatic credits of $10 per hour of unplanned downtime beyond two consecutive hours, capped at $50. Check your billing statement for an entry labeled 'Service Credit.' If it's missing after 72 hours, submit an outage claim."
"42","How do I add a user to my family plan?","Navigate to My Account > Family Plan > Add Line, choose the desired mobile or internet tier, and assign it to a new profile. Each additional line requires its own name and billing contact info but shares data pools on mobile plans."
"43","Why does my phone show full signal bars but I have no internet?","This is a common network attachment issue. Toggle Airplane Mode on for 10 seconds, reboot your device, or remove and reinsert the SIM card. If it persists, call us — we can refresh your profile from our side at no cost."
"44","Do you offer any bundle discounts for internet + mobile?","Yes — bundling saves $15/mo per line. For example, one home internet plan plus two mobile lines together costs roughly $75 less than purchasing each separately over the course of a year."
"45","What is the minimum service term after I install new equipment?","Standard modem and router equipment loans carry no lock-in period. However, if you receive discounted or free equipment as part of a promotional campaign, a 12-month commitment applies — early returns trigger a proportional equipment fee."
"46","How do I prevent unauthorized usage on my Wi-Fi network?","Change your Wi-Fi password immediately, switch the encryption type to WPA3 (or WPA2-AES if WPA3 isn't available), disable WPS setup buttons, and enable MAC address filtering for devices you explicitly want allowed onto the network."
"47","Can I get help setting up a home security camera system over my internet?","Our technician setup add-on at $79 covers initial router configuration for 2+ IP cameras, VLAN assignment for traffic isolation, and port forwarding rules. Self-setup instructions are available in our Knowledge Base under 'Smart Home Integration.'"
"48","What happens if I cancel my mobile plan but keep my internet?","Your internet billing remains unaffected. However, any promotional discounts tied to having both services active will be removed from your internet bill going forward unless you activate a different qualifying service."
"49","How long does it take to port my number in from another carrier?","Number porting typically completes within 1 to 3 business days. During the transition, you'll experience one final brief drop of service. Make sure there's a balance owed on your old account with the previous carrier — that can delay or block the transfer."
"50","What should I do if my bill is overdue and I'm worried about disconnection?","Call 1-800-555-TELE immediately — we offer hardship payment plans for customers at risk of disconnect. Paying just $30 toward your balance stops any disconnection proceedings for 30 days while you arrange full payment."
