"ID","Question","Answer"
"21","What happens if my insurance doesn't cover a service?","If a service is not covered, the provider will discuss alternative options with you beforehand. You have the right to request an explanation of benefits from your insurer for clarification."
"22","How can I check my remaining deductible?","Log into your insurance company's online portal or call their customer service number for the most up-to-date information on your deductible and out-of-pocket maximums."
"23","Will you bill my insurance directly?","Yes, we submit claims directly to your insurance provider as a participating provider. Your responsibility will be the copay at check-in and any remaining balance after insurance processes the claim."
"24","What if I have dual insurance coverage?","Please provide both insurance cards at check-in. We will bill your primary insurance first and then submit any remaining balance to your secondary insurer as required by coordination of benefits rules."
"25","Do you accept Medicare?","Yes, we participate with Medicare Part A and Part B. You may also ask about supplemental or Medigap plans for additional coverage. Please bring both your Medicare card and any supplemental insurance information."
"26","Do you accept Medicaid?","We accept Medicaid for eligible patients at participating locations. Coverage varies by state and specific plan, so please call ahead to confirm availability and any copay requirements."
"27","What is a prior authorization?","A prior authorization is a requirement from your insurance company that certain procedures or medications receive approval before they are rendered or dispensed. Our office staff can assist in submitting these requests on your behalf."
"28","How do I update my insurance information?","You can update your insurance details anytime through the patient portal under 'My Profile' > 'Insurance.' Please bring updated cards to your next visit as well so we can reflect changes everywhere."
"29","What if my insurance plan changes mid-year?","Please update your insurance information in the portal as soon as the change occurs. If you have questions about how it affects your current care plan, reach out to our billing team for guidance."
"30","Is a copay due at every visit?","Yes, most insurance plans require a copayment at the time of service. The amount depends on your specific plan details and the type of visit you are having."
"31","What is coinsurance and how does it work?","Coinsurance is the percentage of costs you share with your insurance company after meeting your deductible. For example, if your plan has 20% coinsurance, you would pay 20% of the allowed charge for a service."
"32","How do I submit a claim on my own?","Our office always submits claims on your behalf. If you must file one independently, we can provide you with a superbill—a detailed receipt containing CPT and ICD-10 codes—that you can submit to your insurer directly."
"33","What should I do if I receive an EOB that doesn't match my bill?","An Explanation of Benefits (EOB) is sent by your insurance company, not the provider. If there is a discrepancy, review both the EOB and our invoice carefully and contact our billing department for reconciliation."
"34","Are preventive services covered at no cost?","Under most ACA-compliant plans, routine preventive services such as annual physicals, vaccinations, and certain screenings are covered at no additional cost to you. Check with your insurer to confirm which services apply to your plan."
"35","Can I use my HSA or FSA funds here?","Yes, many of our services qualify for reimbursement through Health Savings Accounts and Flexible Spending Accounts. Ask for a detailed receipt at checkout that clearly states the service provided for easy submission."
"36","How do I create a patient portal account?","Visit our website and click 'Register' to create an account. You will need your date of birth and a confirmation code sent to your email or phone to verify your identity."
"37","I forgot my patient portal password. What should I do?","Click the 'Forgot Password' link on the login page. Enter your registered email address, and you will receive a secure reset link. The link typically expires within one hour."
"38","What can I do in the patient portal?","The portal allows you to schedule appointments, view lab results, request prescription refills, send secure messages to your provider, access medical records, view bills, and update your personal information."
"39","How do I add a family member to my portal account?","Navigate to 'My Household' or 'Manage Family' in the portal settings and enter their authorization code. Each person needs their own login for privacy reasons, but they can be linked under one household profile."
"40","Is the patient portal secure?","Yes, our portal uses HIPAA-compliant, encrypted connections and multi-factor authentication to protect your personal health information. Never share your login credentials with anyone."
"41","Can I see my lab results through the portal?","Lab results are automatically uploaded and typically available within 2–3 business days of being finalized. Some results may have a brief delay if they require provider review before release."
"42","Why am I unable to log in to the patient portal?","First, confirm that your email and password are correct and that caps lock is off. If the issue persists, try resetting your password. If you still cannot access the account, contact our IT support desk for assistance."
"43","How do I send a message to my doctor through the portal?","Go to 'Messages' in the portal dashboard, click 'New Message,' select your provider, and compose your message. Include any relevant details such as symptoms, medication questions, or appointment concerns."
"44","Can I view my vaccination history in the portal?","Yes, visit the 'Records' tab and select 'Immunizations.' Your vaccination records will be displayed chronologically, and you can print or export them for your personal files or work/school requirements."
"45","How long does it take to get a response through the portal?","Non-urgent messages are typically answered within one to two business days. For urgent medical concerns, please call the office directly rather than relying on portal messaging for timely attention."
"46","Can I access my medical records through the portal?","Yes, under the 'Records' section you can view visit summaries, test results, allergy lists, and current medication lists. You may also download a copy of your full record upon request."
"47","How do I update my phone number or email address in the portal?","Go to 'My Profile' > 'Contact Information' and update your details there. Changes will reflect across all scheduling confirmations and notifications going forward."
"48","What if I have a technical issue with the patient portal?","Try clearing your browser cache and cookies or switching browsers. If the problem persists, contact our IT Help Desk at the number listed on our website's support page for further assistance."
"49","Can I request medical records through the portal?","Yes, select 'Medical Records' from the dashboard and submit a records release request. Processing typically takes five to ten business days depending on the complexity and format requested."
"50","Is there an app version of the patient portal?","Yes, our patient portal is available as a mobile app for both iOS and Android devices. Search for our practice name in your device's app store to download and link your account."
