"ID","Question","Answer"
"24","Can I order food for someone else? Will they know who ordered it?","Yes, just enter the recipient's address at checkout. You can include a gift message in the delivery notes to let them know who sent it. The receipt typically only shows the buyer's information, not the recipient's."
"25","My refund didn't show up yet. It's been 48 hours.","Refund timelines depend on your bank. While platforms process refunds instantly on their end, banks can take 3–7 business days to reflect them. Check with your financial institution if it's been longer than a week."
"26","How do I contact customer support for my delivery issue?","Open the app, go to the order in question, tap 'Help' or 'Support,' and choose from chat, email, or call options. For non-order-specific help, look for the Help Center or FAQ section in the main menu."
"27","Is there a minimum order amount for delivery?","Some restaurants set a minimum order (e.g., $15) to qualify for delivery, while others don't. This is usually displayed on the restaurant's page before you start ordering. Small-order fees may also apply below a certain threshold."
"28","Can I leave special instructions for my delivery driver?","Yes, during checkout there's usually a 'Delivery Instructions' or 'Special Notes' field. You can include directions like 'leave at front door,' building codes, gate numbers, or parking details to help the driver find you."
"29","My order arrived late and some items are inedible. What are my options?","Report the issue immediately through the app with photos. You may be eligible for a full refund on the affected items or a credit toward a future order. If unsatisfied with the resolution, escalate to a human support agent."
"30","Do I need to create an account to place an order?","You'll need at least a guest checkout account or quick sign-up with your email/phone for any platform. Most apps do require full registration to save addresses, track orders, and manage payments efficiently."
"31","How does the delivery fee get calculated?","It's based on distance from the restaurant to you, current demand (surge pricing during peak hours), and sometimes a base service fee. The exact breakdown is shown at checkout before you confirm payment."
"32","Can I request a specific delivery time instead of ASAP?","Yes — select 'Schedule' or 'Choose a Time' at checkout rather than 'ASAP.' You'll pick a window, though deliveries may start slightly early. Note that scheduling isn't available at all restaurants on every platform."
"33","I received the wrong quantity of items. What's my recourse?","Report it via the app under 'Wrong Order' or 'Incorrect Quantity' with photos. You'll typically get a refund for the missing quantity or store credit. Some platforms issue refunds instantly; others take a few days."
"34","What if I forget to add an item during checkout? Can I still get it?","If the order hasn't left the restaurant, call them directly and ask if they can slip in the extra item. If it's already en route, your best bet is adding a new order or visiting the restaurant afterward."
"35","How safe are online payments on food delivery platforms?","Reputable platforms use encrypted payment gateways (PCI compliance) and never store your full card details on their servers. They also support tokenization and fraud monitoring. Always keep your app updated for the latest security patches."
"36","Can I change my delivery address after placing the order?","You generally cannot change it through the app once placed. Call the restaurant or driver directly with a quick note. For future orders, always double-check your saved address before confirming."
"37","Why does my delivery cost more than the menu price? What are all these fees?","Menu prices reflect food only. Add-ons include: delivery fee, service/processing fee, small-order surcharge (if applicable), taxes, and optional tip. The final breakdown is always visible before you pay."
"38","How do I earn loyalty points or rewards on my orders?","Sign up for the platform's loyalty program if available. Points are typically earned per dollar spent and can be redeemed for credits, free delivery, or discounts. Check for partner offers that give bonus multipliers."
"39","The driver canceled on me last minute. How do I get re-compensated?","You should receive a full refund automatically if the order was canceled by the restaurant or driver. If not, contact support with your order number. You can also place a new order as a backup in case it takes time to resolve."
"40","Can I reorder my last order with one tap?","Most apps have a 'Reorder' button in the order history that replicates your previous selection. You can still edit quantities or remove items before confirming and paying for the new order."
"41","What if I have a food allergy and need to know ingredients?","Review the menu item's detailed description on the app for ingredient lists. If not listed, call the restaurant directly to ask. Always inform them of your allergy when placing the order so they can take precautions."
"42","Why was my account suspended from ordering food?","Accounts are typically suspended due to policy violations: fraudulent activity, repeated no-shows, abuse of refund policies, or payment failures. Review any messages from support for the specific reason and appeal if you believe it's an error."
"43","How do I know if a restaurant is currently open before ordering?","The app shows operating hours and current availability. Restaurants that are temporarily closed will be grayed out with a 'Currently Closed' label. If they're preparing to close soon, you may still order but delivery time could shift."
"44","My food arrived with the wrong condiments or sides. Can I return them?","You generally can't 'return' items after delivery, but you can report it through the app for a partial refund or credit on future orders. Most platforms handle this under their satisfaction guarantee policy."
"45","Is there a way to filter restaurants by dietary preference (vegan, gluten-free)?","Yes — use the app's filters to sort by cuisine type, and check each restaurant's menu for dietary labels. Some apps have dedicated categories like 'Vegetarian Friendly' or 'Healthy Options' in their search page."
"46","How do I report a rude or unprofessional delivery driver?","Go to your order details and select 'Report an Issue' or 'Driver Behavior.' You can also reach out through the Help Center. Provide specifics and dates so the platform can investigate and take action if warranted."
"47","What should I do if my food is undercooked?","Contact customer support through the app immediately with photos of the food. You may be offered a refund or credit. For food safety concerns, you can also request that they notify the restaurant for review."
"48","Can I subscribe to a delivery pass for free deliveries?","Many platforms offer monthly subscriptions (e.g., $9.99/month) that waive delivery fees on eligible orders. These usually have a minimum order threshold but can save you significant money if you order frequently."
"49","How long does it take to get my refund after reporting an issue?","Most platforms approve refunds within 24 hours of review, and the funds typically reach your account in 3–7 business days depending on your bank. Faster options like wallet credits are usually instant."
"50","Can I request a receipt for my food delivery order?","Yes — every confirmation email includes a digital receipt. You can also view and download it anytime by going to your Order History, selecting the order, and tapping 'View Receipt' or 'Print.'"
